poem,subject,score_1,score_2,score_3,score_4,score_5,rt_1,rt_2,rt_3,rt_4,rt_5
111,111,6,8,5,5,6,7082,3231,6922,7482,16385
127,111,7,7,7,7,7,1580,1790,1708,2322,15694
135,111,6,6,6,6,7,2375,1448,14532,1414,1376
94,111,7,5,8,7,7,1212,2965,1031,1281,14305
111,112,7,8,7,7,6,2677,8132,8421,12126,13127
127,112,8,7,8,6,9,20396,2759,1882,5239,1461
135,112,7,5,7,6,6,1595,1643,1552,2116,21220
94,112,7,6,7,7,8,1049,1129,1244,7000,1545
132,113,4,0,0,9,2,4416,10373,24022,6581,2823
109,113,9,9,9,9,9,1364,1614,1504,1382,6752
35,113,9,9,9,9,9,925,543,815,11466,1063
76,113,9,9,9,9,8,649,1125,549,531,10510
132,117,4,2,2,3,3,30592,1992,1589,2102,2846
95,117,5,4,4,6,5,1060,1762,1446,1601,3079
94,117,6,6,5,7,6,1180,961,1057,7795,635
115,117,7,6,5,6,5,1204,548,742,3980,819
86,118,9,6,9,9,9,9267,30468,5019,6950,5764
99,118,9,9,7,8,9,3558,2076,29593,4218,2684
24,118,5,6,4,5,4,13259,3511,3663,1840,800
50,118,9,8,9,9,8,2021,1656,13877,2576,1803
103,119,4,5,3,5,5,19787,6534,11301,12330,6958
21,119,7,6,6,7,7,12724,1571,5279,5936,2022
58,119,6,7,7,6,7,2074,1629,1205,8641,1566
105,119,7,7,7,6,7,1248,1533,8000,1456,2247
147,123,2,2,8,8,6,3140,8860,7076,4508,8738
112,123,1,2,3,2,3,1472,2493,1267,259,3195
85,125,8,5,7,5,8,4349,21378,4952,2940,4636
75,125,6,6,5,6,5,1377,8260,1579,1435,1554
46,125,7,5,7,6,8,7593,10112,1728,1215,1458
102,125,7,6,6,6,6,7696,1089,1163,936,1163
2,126,5,4,3,7,6,11779,4179,3304,6981,3474
26,126,7,7,5,6,8,8183,1145,6877,1784,1874
121,126,8,7,5,7,8,1302,2494,2621,7643,1729
65,126,5,5,3,4,6,1787,7204,1387,2303,2236
138,128,4,3,5,2,7,2213,5563,5176,3827,16380
132,128,0,1,1,2,3,1510,1396,1138,1459,7801
38,128,5,2,1,0,4,7219,1095,1573,2966,1927
122,128,4,2,1,0,3,2193,1179,1394,5714,1394
4,129,6,8,6,1,5,3413,2331,3943,1830,12751
42,129,9,6,6,4,8,1531,1196,9380,865,1145
72,129,9,9,9,9,9,262,277,297,4298,631
60,129,9,9,9,9,9,189,303,203,193,208
92,131,7,6,5,5,6,14142,1931,3332,13949,9321
89,132,2,1,1,3,3,4802,2382,4017,13007,5908
27,131,5,5,6,4,5,2763,14931,1730,1832,2449
53,132,5,6,6,6,5,2049,2129,3351,2450,11317
117,131,5,5,5,5,4,697,1147,790,1397,9199
147,131,3,3,3,3,3,364,514,413,398,10997
96,132,8,8,9,8,8,1132,6349,1716,1659,1478
79,132,9,9,8,8,8,6653,470,1651,82,1245
50,135,4,4,2,4,4,4967,14071,2301,1689,2337
137,135,6,6,3,5,3,9587,2057,1553,2716,1667
69,135,3,3,2,5,5,1279,1102,1208,5552,1840
114,135,6,2,2,2,2,2490,5688,1128,2684,1192
16,136,7,7,6,5,7,23454,3570,2633,2670,1800
24,136,6,4,6,1,7,695,698,644,4664,892
88,136,3,4,5,6,7,200,130,89,63,71
17,137,5,3,3,5,4,3765,4545,4744,17108,12899
139,137,3,4,3,4,5,1709,2435,1292,1934,14890
28,137,5,4,3,2,5,10320,1191,2381,734,1416
45,137,4,3,6,5,2,360,583,11327,622,813
55,138,4,8,9,7,9,15676,330,2019,3069,2291
21,138,7,7,6,8,9,60,113,105,36,49
83,142,9,8,9,9,9,45934,14130,5040,2385,3169
103,142,7,8,6,8,7,13549,6957,3380,8656,2694
35,142,6,5,5,5,5,2104,21144,3206,2036,1954
35,142,6,5,5,5,5,2104,21144,3206,2036,1954
13,142,7,7,6,7,7,2497,21618,2033,6454,2285
25,149,8,6,9,8,8,4348,14318,10159,5357,2685
45,149,8,9,8,9,9,10156,2140,4063,2270,2840
35,149,5,8,5,7,6,2314,7170,5077,1967,1503
71,149,6,7,6,6,6,1436,16417,2860,1395,1505
57,151,9,9,9,3,6,8252,3058,3055,2934,2537
117,151,9,9,9,8,8,4345,1371,8318,2222,2093
34,151,5,4,5,4,6,7102,3037,1679,1878,13964
93,151,6,7,6,7,6,1257,2788,4238,1707,22861
21,155,5,8,2,6,6,15187,7614,4408,4492,4869
129,155,5,4,3,5,6,1097,3676,3901,1392,10583
65,155,5,6,6,6,6,2698,99,48,279,46
86,158,8,8,8,9,7,793,3317,65030,1023,1666
68,166,5,5,6,8,7,8679,14917,6442,6575,2347
78,166,5,7,7,7,7,18932,5003,3673,3863,2356
26,166,8,9,8,8,8,12904,2891,3453,11255,2181
70,166,7,7,6,7,7,3047,8978,3354,5370,17043
98,168,1,1,1,0,1,1723,20413,3446,7801,2244
143,168,6,7,6,6,6,5310,3812,8005,2814,2015
136,168,0,0,0,0,0,1327,789,794,6620,1385
90,168,0,0,0,0,0,10470,380,278,491,763
13,175,8,6,7,7,7,6162,5376,3079,19576,1870
28,178,5,4,5,3,3,7766,16044,6999,5668,2409
28,178,5,4,5,3,3,7766,16044,6999,5668,2409
43,178,4,5,4,4,4,6464,9395,9112,1479,1497
60,178,6,6,6,6,6,1299,1172,8388,1727,1056
32,178,5,5,4,5,4,2844,2833,1115,6756,853
126,181,6,7,6,6,7,8176,7476,7184,2965,3759
72,181,7,7,7,5,7,3658,2290,5407,5345,2320
10,181,8,7,7,6,9,1475,1625,8748,4106,1310
85,181,8,8,8,8,7,763,582,6662,690,872
