poem,subject,score_1,score_2,score_3,score_4,score_5,rt_1,rt_2,rt_3,rt_4,rt_5
123,3064,2,2,3,3,2,1057,811,4316,1262,964
34,3065,3,2,2,3,2,1455,1890,5208,1396,1277
139,3064,1,1,0,1,0,3766,561,1816,1803,988
134,3065,4,2,4,4,3,1489,1510,1455,5770,1519
71,3068,2,1,0,3,3,7965,4261,1783,3927,11995
89,3068,1,1,1,0,0,829,1665,12234,2059,945
40,3068,1,1,0,2,3,1918,1364,2155,2310,6512
117,3068,0,1,0,0,0,2364,982,9405,2743,1095
132,3072,6,5,5,6,7,3813,13922,11043,11130,2726
93,3072,3,3,3,3,3,2006,2455,8356,2205,1190
94,3072,6,6,6,6,6,1284,993,5885,1258,1031
4,3072,6,6,6,6,6,630,1041,6049,742,979
89,3073,2,3,2,2,2,929,1748,1061,831,3484
27,3073,5,6,6,6,2,599,483,731,955,887
70,3073,2,4,2,1,2,146,334,2276,513,377
138,3078,3,6,3,5,1,3865,8837,2563,7996,1857
5,3076,7,3,5,8,7,3280,25817,8036,8502,9517
48,3078,3,6,2,3,1,1866,2504,1894,2885,9404
126,3076,3,7,5,7,6,3267,8527,5011,1621,2024
61,3079,5,6,3,4,5,9875,3952,9774,5890,2542
109,3079,6,7,6,7,5,10889,7701,2755,2081,3141
146,3079,5,4,4,5,2,1281,1115,12896,1515,1760
77,3082,0,5,0,2,1,1647,5329,2594,7926,3121
2,3082,5,2,4,4,0,5374,4631,1900,2987,1609
136,3082,2,2,1,1,1,1765,1390,2664,209,2965
121,3082,3,4,4,3,2,1518,6198,1957,2447,1029
1,3076,4,4,3,5,4,2174,14667,5137,589649,2137
57,3076,8,7,8,7,9,1836,1842,1661,8882,1506
50,3085,2,1,2,2,1,7297,2241,4763,3820,6297
143,3085,3,3,4,3,3,99,428,3048,503,733
87,3084,6,7,6,6,6,11362,28516,24383,20301,42284
66,3084,7,6,6,6,7,4233,18243,2425,14183,39676
94,3084,7,6,6,7,7,3699,13632,7602,7700,38169
113,3084,6,8,8,8,8,7228,26989,11965,5580,2762
149,3087,6,6,6,6,6,1221,1870,2142,2335,37087
113,3087,7,8,8,9,8,6813,2577,8235,2041,1387
90,3087,6,6,6,7,7,1838,2927,1336,17146,1632
97,3087,6,6,6,7,7,6124,4028,1204,12295,4362
115,3088,3,2,5,5,3,8502,9130,3379,6121,26190
69,3089,7,9,7,7,0,7458,5929,2820,2744,6075
120,3088,2,2,6,6,2,14191,2932,6133,3116,4316
113,3089,7,9,9,9,0,3536,1299,701,907,27788
91,3089,9,9,9,9,0,1668,1084,894,1315,971
94,3089,9,9,9,9,0,1192,812,1520,2102,818
105,3088,0,0,1,2,0,2198,1032,20433,3199,3179
67,3088,6,7,7,5,7,2076,1116,12649,5799,5662
71,3092,2,6,7,5,4,8331,10571,2609,12319,11705
120,3093,6,7,3,5,2,7993,3484,6847,2550,5015
92,3093,2,1,2,5,2,1960,1196,1033,2648,5781
113,3093,7,5,6,4,3,1665,2395,3334,1845,1660
109,3093,6,6,5,6,6,3750,676,1344,9264,19700
56,3095,3,2,2,2,1,4112,8854,2204,10705,1947
112,3095,5,5,5,5,4,3312,1770,1914,7522,2102
39,3095,1,2,1,2,1,743,920,655,5180,910
2,3096,4,4,6,7,5,3134,7396,6131,1949,19778
94,3095,5,6,5,6,2,586,1195,2033,5899,822
123,3096,3,6,3,4,4,1729,23899,913,3833,1399
48,3096,6,6,6,4,6,865,931,1397,3116,6263
55,3096,7,7,7,7,7,849,3169,697,1632,1064
80,3109,0,1,2,2,1,50,1688,3187,12658,442
89,3094,6,6,4,6,5,3654,9911,175073,2649,3829
38,3109,8,8,8,0,6,603,404,3902,56,1556
50,3109,7,8,7,8,8,468,301,4878,404,1284
81,3109,8,8,8,8,8,374,357,297,4267,427
9,3094,7,7,7,6,7,1421,2785,9514,2255,1548
12,3108,6,7,5,7,7,2331,20523,2465,14190,16879
58,3094,6,5,8,8,6,2652,3777,7321,788,1223
104,3094,8,9,9,8,8,1179,3923,1425,1048,3026
97,3110,0,1,0,1,0,9132,2984,7511,9712,14471
16,3108,7,6,7,7,7,13409,16365,10147,5894,1791
110,3110,7,6,6,6,7,8060,1099,10498,2634,3166
101,3108,8,7,6,7,8,1610,2507,30148,2579,1441
100,3111,8,4,8,8,9,15241,4941,3027,10219,3130
133,3108,7,7,8,8,7,11196,4475,817,781,2592
147,3110,3,4,4,7,3,2859,50761,3309,6075,1920
15,3111,4,4,3,7,6,5214,1902,11336,3808,3405
111,3113,9,9,6,9,6,5040,16689,5124,2942,4502
77,3110,2,2,1,3,0,16190,1714,1503,2053,1713
125,3114,5,4,6,3,6,6044,3461,15671,2862,8601
69,3111,3,7,8,8,8,5723,2078,14590,1900,2271
146,3115,4,3,3,6,5,4551,5112,5892,12550,2642
32,3112,7,7,6,9,6,10882,10301,3861,26295,6089
32,3112,7,7,6,9,6,10882,10301,3861,26295,6089
108,3115,9,7,4,4,7,2899,4146,2673,2331,1948
144,3113,7,5,3,6,4,3361,5906,3077,15818,3822
49,3114,2,0,3,2,2,3078,2847,10448,3043,2794
94,3115,9,5,9,9,6,1343,4746,1017,3750,1580
125,3113,5,8,3,3,7,2442,2528,1845,4374,7275
3,3114,5,7,7,7,7,2679,2465,1364,1585,15173
6,3115,5,7,2,7,4,4483,2164,1409,1979,2274
76,3113,8,9,7,7,6,6241,1942,1384,4980,5133
75,3112,6,7,6,7,6,1958,9247,1672,1551,1953
149,3114,3,8,1,6,6,8265,2517,1680,7043,1695
50,3111,2,6,2,6,3,3379,5264,18185,37713,3971
11,3118,3,9,0,3,3,7949,8229,2548,6764,16850
61,3116,6,4,2,2,6,3741,3734,2633,69855,14176
139,3121,7,9,7,7,5,3134,10890,6474,1697,6014
150,3120,0,0,0,0,0,1189,10024,3042,3051,41387
103,3121,9,9,9,9,9,1278,2198,3776,2398,1434
122,3120,0,0,0,0,0,845,718,1549,1044,4544
21,3120,0,0,0,0,0,118,275,64,2970,35
130,3116,5,6,2,2,3,15286,12805,2319,2417,9229
86,3121,6,4,4,2,2,2398,9553,3933,1748,1180
56,3120,0,0,0,0,0,410,225,626,230,9891
16,3121,9,8,9,7,8,1914,1681,1248,8078,3232
51,3116,2,6,2,2,3,2084,16948,1605,1981,1721
4,3116,5,5,3,3,2,7342,5079,1520,1768,11465
39,3122,4,4,4,4,5,1044,965,1391,983,9905
30,3122,7,9,8,7,9,666,1400,748,1791,976
58,3122,3,4,3,5,6,649,3230,479,1630,1782
23,3122,4,5,5,6,7,2083,814,1015,1249,5777
49,3127,6,3,3,6,7,5110,10333,3544,10236,2978
79,3127,7,7,8,8,8,7075,9345,3586,3030,2277
92,3127,5,6,4,7,5,2608,2840,10798,5611,10349
27,3131,0,0,0,2,1,2700,4113,3213,9522,2494
65,3131,0,0,1,0,1,1643,4706,2542,5553,1272
49,3132,3,7,7,6,5,2684,7858,5617,8237,10754
5,3128,7,5,6,4,5,1952,13034,16256,11397,10461
149,3131,0,2,0,0,2,1578,3051,1546,1448,3097
114,3133,7,8,6,8,5,7180,6169,2937,11133,8284
139,3131,0,0,0,0,0,2438,979,482,531,495
39,3132,2,5,3,4,3,8761,6218,1282,2049,1698
31,3128,4,5,5,6,5,1957,1847,11825,2631,2025
84,3132,4,4,5,4,6,1184,6272,3833,1464,1883
103,3132,3,3,3,2,2,1865,643,1199,1950,2950
28,3128,4,4,4,7,5,1733,1823,2148,1994,11368
7,3133,8,8,6,7,6,3884,6820,9157,18927,2518
49,3132,5,7,6,6,7,299,332,346,5029,286
39,3132,4,4,7,5,5,366,620,261,271,335
84,3132,3,4,5,4,4,732,866,253,1754,948
9,3128,6,5,6,5,5,3507,1803,7279,2241,9478
39,3133,6,7,6,8,5,1866,6186,6623,2423,3221
103,3132,3,3,3,3,3,344,300,225,291,568
103,3133,7,7,5,8,5,1784,2072,5987,8503,5208
149,3134,0,0,0,0,0,1991,11773,4688,2189,1818
114,3134,1,2,1,1,0,4213,2308,1597,2109,8492
106,3134,2,3,3,3,4,1692,1274,1520,5629,1036
71,3135,2,1,1,1,1,1618,576,3094,1462,15823
13,3135,2,2,2,2,2,485,58,182,245,41
8,3134,0,3,0,1,1,1354,1475,1550,6490,2075
82,3136,7,7,7,6,5,3991,5646,5014,3226,9394
68,3136,7,6,6,7,6,78,99,742,78,3838
84,3136,7,7,7,7,7,62,82,66,48,60
2,3136,6,7,7,7,7,100,65,45,98,65
2,3136,6,7,7,7,7,100,65,45,98,65
95,3139,8,7,8,8,4,1220,21353,2253,1612,4989
2,3139,7,7,7,7,7,3855,1120,1419,1171,757
119,3139,4,4,4,6,4,1062,886,9317,2899,1094
16,3139,8,8,8,8,8,1093,1469,3876,1147,1234
86,3141,8,6,7,7,4,14893,7826,16772,31202,17725
60,3142,7,4,5,6,3,1018,3091,7591,2232,851
117,3138,5,4,3,6,5,32340,12619,3410,342369,3736
22,3138,6,7,4,5,6,78269,2338,3693,3064,2500
83,3138,7,4,7,8,7,57077,3285,2934,4756,2589
132,3145,8,7,8,8,8,9298,4249,4683,3169,2337
50,3145,4,0,2,8,3,2126,1948,1549,1132,2095
2,3146,2,3,1,2,0,14159,9196,1801,2931,1851
107,3145,9,9,9,9,9,1642,2900,1063,1414,1450
88,3138,7,7,7,7,7,16908,3484,5274,2650,2442
99,3145,7,7,7,7,7,1131,850,1328,1377,2691
117,3138,2,5,1,3,3,1807,3992,1598,2104,10532
22,3138,4,6,4,4,4,2571,2359,3143,1614,2046
83,3138,4,3,6,6,6,2134,4105,1912,4224,1184
88,3138,5,5,3,4,5,4226,2148,1568,1884,1350
140,3147,5,3,4,8,6,6480,7369,10181,18146,17983
31,3147,5,3,9,8,6,4630,7631,2538,6893,3426
15,3147,9,7,9,8,9,2599,4349,6113,4498,2230
120,3147,3,4,4,5,6,3482,13079,1813,1846,2513
134,3149,1,4,2,4,4,2795,1637,1683,8260,10301
103,3149,7,4,4,4,5,1202,1570,1569,5047,1387
148,3152,2,3,1,2,2,3851,3328,2111,1278,9456
104,3152,1,1,1,1,1,1076,1215,5974,1361,916
120,3152,1,1,1,1,1,105,161,49,47,379
120,3152,1,1,1,1,1,105,161,49,47,379
100,3153,6,3,4,7,7,2376,2515,2763,25066,3194
75,3154,1,2,0,2,0,7338,13115,2080,9459,5639
144,3153,4,5,4,5,6,1090,1264,1096,15077,1326
49,3154,6,6,7,7,5,2989,3919,16760,1876,1802
108,3153,5,5,4,5,4,12996,209,722,196,159
133,3153,7,8,7,8,8,328,1102,625,833,9281
107,3154,2,2,3,3,2,1617,1423,18845,3518,1955
45,3156,2,2,3,1,2,288,433,361,12804,502
14,3154,8,7,7,7,8,1233,1632,1370,1395,13649
93,3156,3,3,2,2,2,6675,121,75,823,76
24,3156,3,3,3,3,2,27,450,36,5936,400
72,3156,6,6,6,6,6,34,161,87,5841,37
44,3155,5,8,2,3,5,18384,10694,2868,5297,4550
126,3157,5,3,5,5,6,1438,3161,7276,1521,1258
40,3159,7,6,7,6,8,193,274,110,132,9638
143,3158,4,5,1,2,6,1860,8450,1813,1933,9494
89,3160,8,4,5,2,1,309,865,2117,981,13164
126,3160,3,7,5,3,1,778,618,348,637,217
75,3160,3,2,3,7,5,511,1535,467,483,356
71,3160,4,2,7,2,4,449,397,310,488,447
87,3161,8,6,9,8,9,3139,12813,51182,10966,6030
149,3161,4,4,4,4,6,1456,2264,1652,19611,1937
18,3168,3,7,3,6,4,8566,3084,23586,2377,1726
111,3161,5,8,5,6,7,1482,2690,9630,2111,15903
134,3161,7,8,8,7,7,2417,2092,1586,2279,20747
122,3168,7,7,6,7,7,5986,2329,25132,1253,692
70,3168,6,5,6,5,6,1441,2598,7807,2529,1560
103,3168,5,4,5,4,5,5283,1208,3961,1103,1095
131,3169,3,5,2,5,3,9733,4318,2408,6956,2327
33,3169,3,3,6,5,4,3584,2089,1213,11116,1544
1,3169,6,6,5,3,5,881,1047,1858,5528,858
69,3170,9,9,9,9,9,1045,24227,1182,2151,9277
79,3172,7,8,0,4,5,18516,18131,8265,6250,8049
146,3172,7,8,7,8,7,13760,4416,3929,4699,2712
14,3172,8,8,7,7,7,2594,2730,3244,11774,2357
40,3172,7,6,6,4,6,7582,2100,4412,3472,3713
79,3174,1,5,3,3,7,27408,11362,8050,42303,8887
83,3176,5,4,7,7,6,1826,4091,9406,2245,11732
30,3176,6,3,5,5,5,10474,3360,2192,1801,2383
28,3176,6,6,7,6,7,1905,2075,4150,21137,1684
101,3176,7,7,7,8,7,2037,11374,1346,2173,2043
22,3177,5,5,3,7,5,15616,1361,1456,1971,1846
27,3177,7,5,3,4,6,6574,2344,1204,1949,1279
79,3177,2,2,2,3,2,1225,2116,1123,1144,6491
90,3177,4,3,4,4,4,7993,937,779,175,138
33,3179,6,8,7,6,6,2366,3517,424,537,696
30,3184,5,3,4,5,6,7539,12456,6840,17408,6056
40,3184,3,3,2,3,2,7588,1431,2095,1675,1677
55,3184,6,6,7,6,6,5574,451,2657,560,1079
68,3184,4,4,3,4,3,5457,340,573,428,1347
16,3188,6,4,6,5,3,61178,11081,1920,17140,4482
40,3188,7,5,7,6,7,2625,854,857,14825,1541
118,3188,7,6,7,5,4,704,9618,699,608,692
45,3188,6,4,7,6,4,212,72,354,239,705
64,3200,3,2,2,3,3,505,18764,762,228,161
134,3197,3,6,3,7,4,30355,13117,3193,5158,3823
29,3200,6,6,6,6,6,624,8042,136,398,128
9,3197,5,5,4,5,4,9325,6097,2708,3400,3332
106,3197,3,3,3,5,4,9938,2321,3220,1647,6334
122,3197,6,4,4,5,5,7270,4272,1765,1680,2055
85,3202,7,2,7,9,8,5817,13881,2354,1488,2628
15,3202,8,8,8,8,8,1411,2994,9367,692,1509
34,3202,9,9,8,9,9,443,1024,3233,785,884
67,3202,2,1,2,0,1,3707,1715,2033,8240,1591
117,3203,6,6,5,7,8,24752,27557,21108,13754,10292
10,3203,5,4,8,6,7,5731,6238,32961,3754,5055
2,3203,7,5,5,7,6,1762,8296,17956,4466,2867
133,3204,2,2,2,2,1,182,234,33,33,93950
131,3204,2,2,2,2,2,364,701,289,122,401
60,3203,6,6,7,8,7,4593,100428,14015,11183,4884
102,3205,2,5,1,1,0,6096,33734,3024,7764,11972
84,3205,1,4,0,1,0,11216,53372,28773,2116,1766
133,3205,5,4,5,5,1,9744,3915,3061,18465,1407
142,3205,6,7,6,6,3,4435,26587,1922,2713,3877
89,3207,6,9,3,0,3,4375,2665,10819,12775,2377
58,3207,6,7,1,3,4,1970,2680,7068,1735,1651
83,3207,6,5,6,5,5,1077,2859,7968,1011,1476
38,3207,4,6,4,3,5,2826,1117,1977,1333,8922
106,3209,4,9,8,8,8,7482,2407,6320,13382,729
57,3210,9,4,4,9,8,41164,12913,14881,5511,3546
36,3210,4,3,0,0,3,28165,7150,2087,3482,2086
33,3210,0,1,3,3,2,2445,19983,2739,12558,1574
107,3210,4,6,2,0,3,20963,6332,2224,1183,2267
115,3211,6,6,5,5,3,2181,4329,16113,12162,3327
74,3211,3,3,3,2,3,1426,7981,1346,2981,1182
147,3215,3,3,4,4,4,2206,1869,6408,3049,14542
142,3211,4,4,4,4,4,535,442,16159,539,718
57,3210,5,7,4,3,1,1533,2377,2298,7194,3365
13,3211,6,6,6,7,6,833,861,14678,761,627
1,3216,3,5,6,6,4,2514,4803,20671,3211,1634
25,3216,6,2,2,3,2,6227,13540,1941,1160,1231
109,3216,6,1,7,3,3,12565,2410,2028,1339,1303
31,3219,6,5,6,7,7,13521,4529,4415,4576,5680
35,3220,2,7,1,1,1,3999,9566,2402,11931,2538
103,3216,1,0,2,0,0,15060,4254,1197,998,994
122,3220,5,6,4,1,3,2498,11292,3380,1551,3040
11,3221,7,8,7,6,6,2327,4817,10458,7095,4180
48,3220,4,3,5,2,3,3360,10420,3052,3958,2154
140,3221,8,6,7,9,6,3299,2448,2861,6604,3147
115,3220,5,4,4,4,2,4560,1929,1629,10852,2339
143,3221,7,7,6,8,7,2478,3529,1897,2796,6958
126,3221,8,7,7,8,7,3194,1283,4124,1708,1147
94,3225,7,8,8,7,8,14923,12827,1896,16358,4718
122,3225,7,7,8,7,7,11700,3120,1946,1857,1632
21,3226,3,4,2,3,3,7703,4758,8577,6759,10360
79,3225,5,8,8,8,7,17569,1424,3982,1735,1379
90,3225,7,7,7,7,7,9924,2057,1403,1537,6039
105,3226,7,6,8,7,8,6571,5717,5100,8313,2929
118,3226,5,4,4,4,5,2316,818,3086,2917,56931
119,3226,6,6,6,6,6,863,751,1753,6221,992
7,3232,6,3,4,4,4,4165,10894,3252,10122,7593
127,3232,7,3,6,5,5,1618,18642,1978,10067,2144
133,3232,5,6,6,6,5,4853,934,640,1246,527
19,3232,6,5,6,6,5,390,359,379,363,312
85,3233,5,5,2,2,2,4661,9437,2398,1948,4764
128,3233,2,2,5,6,7,308,232,113,8217,300
122,3233,7,5,2,7,5,173,282,157,215,233
95,3233,4,6,1,2,4,415,244,252,149,213
129,3234,7,6,7,5,5,1763,7738,245,936,296
145,3237,4,5,5,3,6,997,915,9885,2419,3159
40,3237,3,6,6,3,4,582,560,320,579,513
97,3237,5,7,7,2,5,425,375,597,360,465
51,3237,2,7,5,6,2,359,318,290,355,417
84,3238,3,5,4,7,6,5626,33256,3276,5865,1960
147,3238,8,5,8,5,7,1982,4442,2445,19680,3935
68,3239,0,2,0,0,0,6083,5866,16085,2708,1580
57,3238,9,9,8,7,8,4187,2227,2197,3082,3846
9,3239,0,0,0,0,1,3649,1434,6485,1234,1218
67,3238,6,8,7,7,6,3843,10017,3449,6197,1775
51,3241,7,3,6,5,6,5821,5831,11848,2657,2740
56,3241,7,2,4,4,5,1927,5729,2695,2009,5660
18,3241,5,4,4,4,4,10371,1430,2212,1497,1646
137,3241,2,2,3,5,3,1663,1256,1344,1512,6360
45,3247,7,7,7,9,8,410,712,2893,5002,10709
144,3247,4,3,5,4,5,5289,3518,1260,2000,1809
60,3247,6,7,5,6,6,1965,6784,1346,1161,1569
62,3247,9,8,7,8,9,2984,9400,2055,1892,1950
45,3248,5,5,5,8,5,4460,7800,22951,4479,4610
67,3249,5,6,5,5,7,4215,3652,4829,3994,47703
75,3249,9,8,9,9,9,1847,2211,26335,1299,1476
145,3249,7,4,7,8,7,2297,1613,2260,12703,2234
85,3249,7,6,7,7,7,1415,1645,1612,20414,1984
31,3250,5,4,4,9,5,26943,5547,8426,3495,5947
15,3250,9,9,5,9,6,4552,2958,5565,7674,1925
131,3250,5,6,4,5,6,3026,2528,1607,8290,1693
59,3250,5,4,4,5,6,2499,2367,2413,2683,8846
55,3257,5,5,5,5,5,2218,2472,1966,7043,11067
4,3257,7,7,7,7,7,10421,1046,896,1056,1111
148,3257,4,8,8,8,4,7314,5651,3390,3771,6331
130,3257,7,7,7,7,7,11238,1279,1230,1055,1553
73,3258,5,0,1,2,6,1665,6203,1747,3080,5764
142,3258,8,7,7,7,6,1853,579,2266,1349,4380
5,3258,8,4,9,9,8,1241,2591,998,2628,1296
63,3258,2,2,1,3,2,829,833,484,1341,342
44,3261,2,2,2,1,9,9152,13726,1091,2163,3778
26,3261,8,9,9,9,9,765,6426,122,558,53
46,3261,9,9,9,9,9,105,105,108,23,95
142,3261,9,9,9,9,9,114,36,93,114,107
142,3261,9,9,9,9,9,114,36,93,114,107
56,3267,3,3,2,3,3,26511,5038,2504,7085,4397
99,3267,3,3,4,4,4,50196,1697,20039,7541,1850
111,3267,3,3,3,4,4,19184,1724,2098,1491,2831
95,3267,4,4,5,5,5,3543,2038,3421,2514,25620
48,3277,5,4,4,1,6,6085,9644,12129,8208,7936
126,3277,3,4,3,5,6,3553,11078,4563,3443,4159
64,3277,5,3,3,4,5,3498,3697,2511,9854,3271
34,3277,4,5,3,4,6,2053,16780,2439,3782,5297
28,3289,6,4,6,5,6,4038,4714,5294,70325,3808
51,3289,7,7,8,7,8,2637,9163,2427,3323,1808
13,3289,2,3,3,3,4,2870,8405,1947,2572,3031
34,3289,3,3,2,2,4,2794,1339,1366,1835,5207
145,3292,6,6,6,6,6,4109,169,366,209,110
92,3292,6,6,6,6,6,135,72,57,99,34
18,3292,6,6,6,6,6,32,122,112,109,112
29,3292,5,5,5,6,5,109,90,106,57,99
29,3292,5,5,5,6,5,109,90,106,57,99
100,3293,5,3,0,7,8,37021,12141,7784,13296,39641
51,3293,9,9,9,8,9,15703,5634,3971,5085,9644
119,3293,7,7,9,9,8,12542,7495,9129,10393,3599
108,3293,8,9,8,6,4,1943,2526,3821,2740,11124
134,3300,4,6,3,4,3,9925,3046,4984,3080,4395
33,3300,5,6,6,6,7,2580,2913,1179,1912,4829
83,3301,3,3,3,6,2,11683,8931,3227,4100,3923
141,3300,6,5,5,6,5,1063,5554,911,712,497
52,3301,7,6,5,4,5,2443,7987,4100,6364,2292
6,3300,6,7,7,7,7,2292,817,747,5510,1964
93,3302,3,3,0,2,1,5611,14944,16614,12519,6301
31,3301,4,2,3,5,3,10532,2940,1819,8471,1924
21,3311,5,4,4,5,4,15272,2763,2580,9339,2282
22,3302,2,4,1,2,1,2274,17199,3287,2101,1556
84,3311,5,5,5,6,5,1849,3079,15998,2714,1648
107,3302,1,3,1,1,1,1177,10476,1965,1205,1756
92,3301,4,5,5,6,4,9547,4283,2931,2149,8205
14,3312,4,7,2,2,4,6322,5516,2048,1531,10141
60,3311,6,6,6,6,6,1484,1627,2175,979,9416
33,3302,6,6,5,5,5,14546,1913,2723,1515,1959
91,3312,6,9,6,6,7,1699,10889,5877,1208,3131
136,3311,5,5,5,5,5,2147,7806,1265,1662,1449
46,3313,7,4,5,8,8,3286,11950,8551,4679,22175
33,3312,4,6,4,4,4,17430,1581,930,1615,1515
53,3312,4,3,4,4,4,894,1265,15465,933,1132
16,3314,6,3,4,6,5,2578,2446,2262,6740,8588
90,3313,5,4,6,4,4,5605,3269,3750,20351,3465
94,3314,7,6,7,6,7,1183,1213,1273,1334,4434
51,3314,6,6,5,7,5,5441,883,913,1319,1176
30,3313,6,5,6,7,7,1690,2860,7795,3299,11409
82,3313,5,4,5,6,7,2616,2261,3583,13499,2025
102,3315,0,1,5,4,1,20374,12233,6749,9873,7018
19,3315,5,1,1,5,1,3927,10106,2096,4066,4131
125,3315,8,4,8,9,9,2184,4065,1707,12606,1759
102,3317,3,3,3,5,5,10058,19085,5252,5810,4674
71,3315,5,6,4,5,5,1929,14726,2264,2716,1431
16,3317,7,7,7,7,8,1435,18490,6234,2083,1995
77,3317,8,8,8,8,8,1707,1931,1826,10516,2116
144,3317,5,5,5,5,6,1390,1402,11563,1874,2329
127,3319,9,8,7,5,9,5514,1454,604,1164,3575
46,3319,7,7,7,7,7,122,70,80,89,52
61,3319,7,7,7,7,7,47,56,57,15,52
136,3319,7,7,7,7,7,56,63,38,20,43
136,3319,7,7,7,7,7,56,63,38,20,43
114,3322,1,1,0,3,0,6091,5544,4619,14014,3051
107,3322,6,7,5,8,0,2033,5690,4856,3613,4090
74,3325,3,0,4,3,2,3347,4997,14010,3264,19964
28,3322,4,3,2,3,0,9859,5333,6139,3658,1702
133,3327,4,4,4,3,4,2803,3026,6029,1724,14122
32,3325,4,4,1,3,2,12348,2381,2215,4379,3980
118,3322,5,4,5,5,0,1656,2180,12963,2760,2195
148,3325,3,1,2,3,2,15602,1781,1514,2430,1348
128,3327,5,3,5,5,5,14952,10039,2181,2578,1898
120,3325,2,4,1,3,1,1630,3145,2096,2145,10172
120,3327,6,6,6,6,6,706,2268,2161,774,12476
97,3327,6,6,6,6,6,484,395,403,10366,507
74,3325,6,5,5,6,6,397,413,4797,414,412
32,3325,6,5,6,6,5,397,240,308,408,270
148,3325,5,7,6,7,5,315,420,430,339,297
120,3325,7,5,7,5,5,461,300,348,365,404
31,3329,3,2,0,2,0,4875,14849,6262,5958,3470
4,3331,6,9,6,6,7,3115,20971,1946,3832,7389
139,3333,1,0,1,2,2,3106,1929,2139,2044,25992
108,3331,9,9,6,6,7,1030,5270,1363,1232,1167
123,3329,0,1,0,2,1,7022,2197,3038,2718,3747
137,3331,9,9,9,8,8,964,5030,864,1181,1148
8,3334,2,2,0,0,0,13035,8839,2487,4673,2402
80,3331,6,6,7,7,7,614,500,649,2136,650
10,3333,1,0,0,3,2,7403,4381,1633,4594,2445
143,3329,0,3,0,1,1,7194,6343,2873,2191,2637
104,3330,8,8,8,8,8,72896,2044,4529,2443,747
3,3334,4,6,4,3,2,5769,5787,3519,2891,2067
56,3333,2,2,2,2,2,2329,13147,1484,2276,1708
8,3335,0,1,0,0,0,4227,9507,2884,14156,1708
18,3329,2,1,0,1,1,2818,4674,4828,2237,2357
80,3334,7,8,7,7,6,2857,4247,1798,7647,2154
87,3336,7,2,6,4,5,2834,2350,2321,4899,20197
40,3337,4,4,4,5,4,2036,6114,3447,2949,13547
3,3335,2,3,3,2,3,15037,1172,1205,1652,1356
70,3334,3,4,2,2,4,6030,1436,2033,2240,1768
44,3337,2,1,2,2,2,978,8015,899,2289,1199
5,3333,3,3,2,2,2,1861,1212,30465,1526,1194
121,3340,8,8,7,9,5,4614,3678,10098,2469,3489
128,3337,1,2,1,1,1,784,680,705,4654,1041
80,3335,5,7,7,7,7,12352,1675,2748,1709,2728
139,3337,1,1,2,1,1,261,666,3647,247,533
47,3340,6,5,2,3,1,1897,4041,2767,1876,2177
4,3338,7,0,0,0,5,7940,25247,5985,8724,3925
70,3335,2,3,4,4,1,930,1572,1236,772,8542
127,3340,5,4,4,3,4,1420,1301,6261,1560,1544
145,3342,6,4,6,6,6,2281,33625,3864,2412,10175
141,3340,5,4,5,5,5,1121,2939,1414,1460,1166
5,3338,0,0,0,0,3,2364,1403,15672,1692,3266
20,3338,1,0,0,0,0,1318,527,10314,406,349
147,3341,1,9,0,9,5,26436,14980,25942,12898,4305
37,3338,8,4,4,8,8,1246,888,9197,1354,1981
4,3342,4,4,4,4,3,36036,1449,2646,1074,1413
6,3344,1,2,1,2,3,4316,8582,10066,6868,4696
80,3342,8,6,7,8,8,1498,1361,42895,2329,2464
142,3345,4,8,4,5,8,6129,30338,5884,3762,4284
7,3342,7,7,4,7,7,1810,2143,1662,7378,1264
54,3347,8,5,6,7,6,3865,4781,16921,9708,8515
21,3348,3,2,1,0,1,4376,7274,13918,5230,4548
98,3345,8,8,8,8,6,8872,2435,1595,8319,2111
73,3347,3,2,2,3,3,2146,1714,2565,2698,9685
122,3345,7,7,8,8,8,1072,4696,5373,982,1318
30,3348,4,4,2,3,3,2515,9373,2156,3889,4108
67,3347,7,7,8,7,8,1097,797,1082,831,11406
18,3345,7,7,7,7,8,1614,872,1005,862,11090
123,3347,5,4,5,4,4,8490,515,1398,681,664
15,3348,5,2,1,3,5,3562,7102,1713,3747,4025
84,3355,2,2,3,4,2,4296,3123,869,569,8549
54,3355,5,4,5,7,4,695,679,798,277,2958
18,3355,5,7,7,7,3,815,1832,681,490,348
61,3348,1,3,2,1,3,5079,1875,1515,2042,3801
99,3355,9,1,9,3,6,596,1006,1016,608,783
6,3356,0,1,0,0,3,5555,15419,2188,1975,4943
51,3357,4,4,4,4,4,3754,2712,5209,2910,14236
90,3358,4,2,6,4,5,2037,7571,2748,2482,1865
148,3357,6,5,6,5,5,481,1667,2495,3160,1645
37,3356,1,2,0,1,5,2367,6200,2167,1547,1942
87,3358,3,3,2,2,5,1345,1299,1829,2605,663
82,3357,5,4,5,5,4,1325,2099,1866,959,2415
103,3356,4,1,0,2,3,5453,1706,1232,1492,1716
150,3358,3,4,6,4,6,1230,3812,2214,1530,1645
72,3357,6,6,6,7,7,2147,1214,2226,542,4440
120,3360,0,2,0,1,2,3397,15113,4133,5811,4242
46,3358,1,1,2,2,2,1208,3467,880,3036,1384
60,3356,4,6,0,2,5,8690,4963,1480,1275,1747
